"f_file","q_file","K_detected","n_inds","K_from_name","ok","fail_reason"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-1_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-10_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-2_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-3_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-4_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-5_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-6_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-7_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-8_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K4-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K4-9_f.Q",4,278,4,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-1_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-10_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-2_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-3_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-4_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-5_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-6_f.Q",5,278,5,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K5-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K5-7_f.Q",5,278,5,TRUE,"ok"
