"f_file","q_file","K_detected","n_inds","K_from_name","ok"
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-16_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-17_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-18_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-19_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-2_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-20_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-3_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-4_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-5_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-6_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-7_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-8_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K2-9_f",NA,NA,NA,2,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-1_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-10_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-11_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-12_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-13_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-14_f",NA,NA,NA,3,FALSE
